post_id,creator_id,caption,hashtags,post_date,audio_id
p1,c1,New dance trend alert! #trending,#music,2025-05-13,aud5
p2,c4,Can't believe this happened! #fun,#life,2025-06-17,aud1
p3,c4,Can't believe this happened! #fun,#music,2025-06-06,aud3
p4,c5,Watch till the end! #viral,#life,2025-06-14,aud1
p5,c5,Watch till the end! #trending,#music,2025-05-05,aud3
p6,c2,Can't believe this happened! #trending,#fun,2025-06-13,aud1
p7,c4,Can't believe this happened! #fun,#trending,2025-05-05,aud3
p8,c4,How I created this in 5 mins #trending,#tips,2025-05-23,aud3
p9,c1,Can't believe this happened! #trending,#fun,2025-05-23,aud3
p10,c1,Watch till the end! #trending,#fun,2025-06-21,aud2
p11,c2,Watch till the end! #trending,#music,2025-06-28,aud5
p12,c4,Watch till the end! #trending,#trending,2025-06-07,aud3
p13,c5,How I created this in 5 mins #trending,#tips,2025-05-17,aud5
p14,c4,Here's my skincare routine #trending,#fun,2025-05-10,aud1
p15,c5,Watch till the end! #fun,#fun,2025-06-10,aud3
p16,c2,How I created this in 5 mins #trending,#fun,2025-06-20,aud4
p17,c5,Can't believe this happened! #fun,#tips,2025-06-28,aud4
p18,c4,How I created this in 5 mins #trending,#trending,2025-06-18,aud4
p19,c2,Watch till the end! #trending,#fun,2025-05-19,aud1
p20,c1,How I created this in 5 mins #trending,#music,2025-06-22,aud4
p21,c4,Here's my skincare routine #viral,#viral,2025-05-26,aud1
p22,c2,New dance trend alert! #viral,#life,2025-05-28,aud4
p23,c2,Here's my skincare routine #viral,#fun,2025-05-06,aud1
p24,c2,Here's my skincare routine #fun,#fun,2025-05-24,aud2
p25,c4,Can't believe this happened! #viral,#trending,2025-06-21,aud4
p26,c4,New dance trend alert! #viral,#viral,2025-05-13,aud4
p27,c5,Can't believe this happened! #trending,#music,2025-05-02,aud3
p28,c3,Can't believe this happened! #trending,#life,2025-06-17,aud4
p29,c1,New dance trend alert! #trending,#fun,2025-06-19,aud3
p30,c3,Can't believe this happened! #trending,#tips,2025-06-27,aud4
